=== Log do EVRP - Instância Modificatification of E-n23-k3 instance. Modified by Mavrovouniotis Menelaou. ===
Clientes: 22
Veículos mínimos: 3

=== Histórico de Melhores Distâncias ===
Geração 776: 618.67
Geração 777: 618.67
Geração 778: 618.67
Geração 779: 618.67
Geração 780: 618.67
Geração 781: 618.67
Geração 782: 618.67
Geração 783: 618.67
Geração 784: 618.67
Geração 785: 618.67
Geração 786: 618.67
Geração 787: 618.67
Geração 788: 618.67
Geração 789: 618.67
Geração 790: 618.67
Geração 791: 618.67
Geração 792: 618.67
Geração 793: 618.67
Geração 794: 618.67
Geração 795: 618.67
Geração 796: 618.67
Geração 797: 618.67
Geração 798: 618.67
Geração 799: 618.67
Geração 800: 618.67
Geração 801: 618.67
Geração 802: 618.67
Geração 803: 618.67
Geração 804: 618.67
Geração 805: 618.67
Geração 806: 618.67
Geração 807: 618.67
Geração 808: 618.67
Geração 809: 618.67
Geração 810: 618.67
Geração 811: 618.67
Geração 812: 618.67
Geração 813: 618.67
Geração 814: 618.67
Geração 815: 618.67
Geração 816: 618.67
Geração 817: 618.67
Geração 818: 618.67
Geração 819: 618.67
Geração 820: 618.67
Geração 821: 618.67
Geração 822: 618.67
Geração 823: 618.67
Geração 824: 618.67
Geração 825: 618.67
Geração 826: 618.67
Geração 827: 618.67
Geração 828: 618.67
Geração 829: 618.67
Geração 830: 618.67
Geração 831: 618.67
Geração 832: 618.67
Geração 833: 618.67
Geração 834: 618.67
Geração 835: 618.67
Geração 836: 618.67
Geração 837: 618.67
Geração 838: 618.67
Geração 839: 618.67
Geração 840: 618.67
Geração 841: 618.67
Geração 842: 618.67
Geração 843: 618.67
Geração 844: 618.67
Geração 845: 618.67
Geração 846: 618.67
Geração 847: 618.67
Geração 848: 618.67
Geração 849: 618.67
Geração 850: 618.67
Geração 851: 618.67
Geração 852: 618.67
Geração 853: 618.67
Geração 854: 618.67
Geração 855: 618.67
Geração 856: 618.67
Geração 857: 618.67
Geração 858: 618.67
Geração 859: 618.67
Geração 860: 618.67
Geração 861: 618.67
Geração 862: 618.67
Geração 863: 618.67
Geração 864: 618.67
Geração 865: 618.67
Geração 866: 618.67
Geração 867: 618.67
Geração 868: 618.67
Geração 869: 618.67
Geração 870: 618.67
Geração 871: 618.67
Geração 872: 618.67
Geração 873: 618.67
Geração 874: 618.67
Geração 875: 618.67
Geração 876: 618.67
Geração 877: 618.67
Geração 878: 618.67
Geração 879: 618.67
Geração 880: 618.67
Geração 881: 618.67
Geração 882: 618.67
Geração 883: 618.67
Geração 884: 618.67
Geração 885: 618.67
Geração 886: 618.67
Geração 887: 618.67
Geração 888: 618.67
Geração 889: 618.67
Geração 890: 618.67
Geração 891: 618.67
Geração 892: 618.67
Geração 893: 618.67
Geração 894: 618.67
Geração 895: 618.67
Geração 896: 618.67
Geração 897: 618.67
Geração 898: 618.67
Geração 899: 618.67
Geração 900: 618.67
Geração 901: 618.67
Geração 902: 618.67
Geração 903: 618.67
Geração 904: 618.67
Geração 905: 618.67
Geração 906: 618.67
Geração 907: 618.67
Geração 908: 618.67
Geração 909: 618.67
Geração 910: 618.67
Geração 911: 618.67
Geração 912: 618.67
Geração 913: 618.67
Geração 914: 618.67
Geração 915: 618.67
Geração 916: 618.67
Geração 917: 618.67
Geração 918: 618.67
Geração 919: 618.67
Geração 920: 618.67
Geração 921: 618.67
Geração 922: 618.67
Geração 923: 618.67
Geração 924: 618.67
Geração 925: 618.67
Geração 926: 618.67
Geração 927: 618.67
Geração 928: 618.67
Geração 929: 618.67
Geração 930: 618.67
Geração 931: 618.67
Geração 932: 618.67
Geração 933: 618.67
Geração 934: 618.67
Geração 935: 618.67
Geração 936: 618.67
Geração 937: 618.67
Geração 938: 618.67
Geração 939: 618.67
Geração 940: 618.67
Geração 941: 618.67
Geração 942: 618.67
Geração 943: 618.67
Geração 944: 618.67
Geração 945: 618.67
Geração 946: 618.67
Geração 947: 618.67
Geração 948: 618.67
Geração 949: 618.67
Geração 950: 618.67
Geração 951: 618.67
Geração 952: 618.67
Geração 953: 618.67
Geração 954: 618.67
Geração 955: 618.67
Geração 956: 618.67
Geração 957: 618.67
Geração 958: 618.67
Geração 959: 618.67
Geração 960: 618.67
Geração 961: 618.67
Geração 962: 618.67
Geração 963: 618.67
Geração 964: 618.67
Geração 965: 618.67
Geração 966: 618.67
Geração 967: 618.67
Geração 968: 618.67
Geração 969: 618.67
Geração 970: 618.67
Geração 971: 618.67
Geração 972: 618.67
Geração 973: 618.67
Geração 974: 618.67
Geração 975: 618.67
Geração 976: 618.67
Geração 977: 618.67
Geração 978: 618.67
Geração 979: 618.67
Geração 980: 618.67
Geração 981: 618.67
Geração 982: 618.67
Geração 983: 618.67
Geração 984: 618.67
Geração 985: 618.67
Geração 986: 618.67
Geração 987: 618.67
Geração 988: 618.67
Geração 989: 618.67
Geração 990: 618.67
Geração 991: 618.67
Geração 992: 618.67
Geração 993: 618.67
Geração 994: 618.67
Geração 995: 618.67
Geração 996: 618.67
Geração 997: 618.67
Geração 998: 618.67
Geração 999: 618.67
Geração 1000: 618.67
Geração 1001: 618.67
Geração 1002: 618.67
Geração 1003: 618.67
Geração 1004: 618.67
Geração 1005: 618.67
Geração 1006: 618.67
Geração 1007: 618.67
Geração 1008: 618.67
Geração 1009: 618.67
Geração 1010: 618.67
Geração 1011: 618.67
Geração 1012: 618.67
Geração 1013: 618.67
Geração 1014: 618.67
Geração 1015: 618.67
Geração 1016: 618.67
Geração 1017: 618.67
Geração 1018: 618.67
Geração 1019: 618.67
Geração 1020: 618.67
